Cellulose,Hemicellulose,Lignin,Size,Temp,Time,SL_ratio,HBA_HBD_ratio,MW,pKa,HBD_count,HBA_count,viscosity,biomass_enc,hbd_enc,LRY
36.77,24.98,23.59,0.25,90,12.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.48154761904762,51.86124521072797,50.42
36.77,24.98,23.59,0.25,120,6.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,55.102467391304344,53.016349206349204,75.18
36.77,24.98,23.59,0.25,120,12.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.30382954545455,53.66330982236155,88.16
36.77,24.98,23.59,0.25,150,6.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.30382954545455,53.66330982236155,91.17
36.77,24.98,23.59,0.25,150,12.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,55.102467391304344,53.016349206349204,86.61
36.77,24.98,23.59,0.25,180,6.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.27090588235294,52.767703761755484,73.4
36.77,24.98,23.59,0.25,180,12.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.502012048192775,52.52197783251232,68.71
40.0,28.0,9.0,2.18,60,12.0,0.05,0.5,90.08,3.86,2.0,3.0,10.0,54.30382954545455,53.66330982236155,51.0
40.0,28.0,9.0,2.18,60,12.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,54.27090588235294,52.767703761755484,60.0
40.0,28.0,9.0,2.18,60,12.0,0.05,0.1111111111111111,90.08,3.86,2.0,3.0,10.0,54.27090588235294,52.767703761755484,59.0
35.1,20.6,22.59,0.4,120,12.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.502012048192775,30.997465236686388,55.51
35.1,20.6,22.59,0.4,120,4.0,0.05,2.0,90.03,1.25,2.0,4.0,10.0,54.502012048192775,57.676585365853654,39.0
35.1,20.6,22.59,0.4,120,4.0,0.05,0.5,60.06,13.9,2.0,2.0,1.5,54.502012048192775,30.997465236686388,50.83
35.5,20.6,21.53,0.4,120,6.0,0.05,1.0,62.07,15.1,2.0,2.0,10.0,54.502012048192775,25.743333333333336,26.16
35.5,20.6,21.53,0.4,120,6.0,0.05,1.0,92.09,14.4,3.0,3.0,50.0,55.102467391304344,34.32525739644971,24.12
35.5,20.6,21.53,0.4,120,6.0,0.05,1.0,152.15,13.5,5.0,5.0,50.0,54.502012048192775,21.4,20.6
35.5,20.6,21.53,0.4,120,6.0,0.05,1.0,45.04,15.5,2.0,1.0,1.5,54.502012048192775,51.91873394948207,45.83
35.5,20.6,21.53,0.4,120,6.0,0.05,1.0,60.06,13.9,2.0,2.0,1.5,54.502012048192775,30.997465236686388,48.52
35.5,20.6,21.53,0.4,120,6.0,0.05,1.0,95.53,13.6,5.0,2.0,10.0,55.102467391304344,51.91873394948207,36.61
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,62.07,15.1,2.0,2.0,10.0,54.48154761904762,25.606,21.89
35.5,20.6,21.53,0.4,120,3.0,0.05,1.0,62.07,15.1,2.0,2.0,10.0,54.27090588235294,25.320000000000004,28.7
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,76.09,14.9,2.0,2.0,10.0,54.502012048192775,32.88,26.46
35.5,20.6,21.53,0.4,120,3.0,0.05,1.0,76.09,14.9,2.0,2.0,10.0,54.48154761904762,26.46,32.88
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,76.09,14.8,2.0,2.0,10.0,54.27090588235294,34.15,29.19
35.5,20.6,21.53,0.4,120,3.0,0.05,1.0,76.09,14.8,2.0,2.0,10.0,54.30382954545455,29.19,34.15
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,76.05,3.83,2.0,3.0,1.5,54.30382954545455,51.38333333333333,33.17
35.5,20.6,21.53,0.4,120,3.0,0.05,1.0,76.05,3.83,2.0,3.0,1.5,54.27090588235294,44.785,36.88
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,90.08,3.86,2.0,3.0,10.0,54.30382954545455,53.66330982236155,51.41
35.5,20.6,21.53,0.4,120,3.0,0.05,1.0,90.08,3.86,2.0,3.0,10.0,55.102467391304344,53.016349206349204,25.39
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,108.52,2.83,1.0,3.0,1.5,54.48154761904762,73.83,51.98
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,90.03,1.25,2.0,4.0,10.0,54.48154761904762,55.495365853658534,36.8
35.5,20.6,21.53,0.4,80,6.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,54.48154761904762,50.13833333333333,51.29
43.5,30.3,18.5,1.0,126,2.5,0.075,0.2785515320334262,60.05,4.76,1.0,2.0,1.5,54.48154761904762,69.70635057471264,84.0
43.5,30.3,18.5,1.0,90,1.0,0.075,1.0,60.05,4.76,1.0,2.0,1.5,54.30382954545455,70.59830049261083,53.7
43.5,30.3,18.5,1.0,90,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.502012048192775,69.49830049261084,69.3
43.5,30.3,18.5,1.0,90,1.0,0.075,0.25,60.05,4.76,1.0,2.0,1.5,54.48154761904762,69.70635057471264,57.1
43.5,30.3,18.5,1.0,90,1.0,0.075,0.2,60.05,4.76,1.0,2.0,1.5,54.27090588235294,68.353,58.5
43.5,30.3,18.5,1.0,60,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,55.102467391304344,71.5247290640394,61.7
43.5,30.3,18.5,1.0,90,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.48154761904762,69.70635057471264,68.9
43.5,30.3,18.5,1.0,120,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.27090588235294,68.353,56.6
43.5,30.3,18.5,1.0,140,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.27090588235294,68.353,77.7
43.5,30.3,18.5,1.0,160,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.27090588235294,68.353,78.3
43.5,30.3,18.5,1.0,140,0.5,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.48154761904762,69.70635057471264,74.2
43.5,30.3,18.5,1.0,140,1.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.502012048192775,69.49830049261084,78.4
43.5,30.3,18.5,1.0,140,3.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.30382954545455,70.59830049261083,78.6
43.5,30.3,18.5,1.0,140,4.0,0.075,0.5,60.05,4.76,1.0,2.0,1.5,54.27090588235294,68.353,79.7
34.2,19.6,21.91,0.6,90,3.0,0.05,2.0,126.07,1.25,4.0,5.0,10.0,55.102467391304344,57.036860541969595,54.91
34.2,19.6,21.91,0.6,90,3.0,0.05,1.0,126.07,1.25,4.0,5.0,10.0,54.48154761904762,55.06508574807806,63.86
34.2,19.6,21.91,0.6,90,3.0,0.05,0.5,126.07,1.25,4.0,5.0,10.0,55.102467391304344,57.036860541969595,67.44
34.2,19.6,21.91,0.6,120,1.0,0.05,2.0,126.07,1.25,4.0,5.0,10.0,54.48154761904762,55.06508574807806,73.54
34.2,19.6,21.91,0.6,120,1.0,0.05,1.0,126.07,1.25,4.0,5.0,10.0,54.502012048192775,59.2922191011236,74.46
34.2,19.6,21.91,0.6,120,1.0,0.05,0.5,126.07,1.25,4.0,5.0,10.0,54.502012048192775,59.2922191011236,75.07
33.6,18.6,15.3,0.4,120,6.0,0.1,0.1111111111111111,90.08,3.86,2.0,3.0,10.0,55.102467391304344,53.016349206349204,75.0
33.6,18.6,15.3,0.4,120,6.0,0.1,0.5,90.08,3.86,2.0,3.0,10.0,54.27090588235294,52.767703761755484,60.35
33.6,18.6,15.3,0.4,120,6.0,0.1,0.5,108.52,2.83,1.0,3.0,1.5,54.502012048192775,51.98,73.83
33.6,18.6,15.3,0.4,120,6.0,0.1,0.5,76.05,3.83,2.0,3.0,1.5,54.27090588235294,44.785,60.87
33.6,18.6,15.3,0.4,120,6.0,0.1,0.5,106.14,4.34,2.0,2.0,1.5,54.48154761904762,51.91873394948207,56.41
33.6,18.6,15.3,0.4,120,6.0,0.1,0.5,106.14,3.66,2.0,2.0,1.5,54.502012048192775,51.91873394948207,70.61
33.6,18.6,15.3,0.4,120,6.0,0.1,0.5,150.17,4.4,2.0,2.0,10.0,55.102467391304344,51.91873394948207,20.75
30.3,16.7,21.5,1.2,150,15.0,0.0526315789473684,0.5,62.07,15.1,2.0,2.0,10.0,54.48154761904762,25.606,30.7
30.3,16.7,21.5,1.2,150,15.0,0.0526315789473684,1.0,182.17,13.6,6.0,6.0,50.0,54.48154761904762,51.91873394948207,43.2
30.3,16.7,21.5,1.2,150,15.0,0.0526315789473684,1.0,152.15,13.5,5.0,5.0,50.0,54.30382954545455,20.6,21.4
30.3,16.7,21.5,1.2,150,15.0,0.0526315789473684,0.5,92.09,14.4,3.0,3.0,50.0,54.502012048192775,34.10389909685457,52.2
30.3,16.7,21.5,1.2,150,24.0,0.0526315789473684,0.5,92.09,14.4,3.0,3.0,50.0,54.30382954545455,33.77110868888197,53.3
